NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|4|Ciências, matemática e computação|46|Matemática e estatística|462|Estatística|462C01|Ciência atuarial
2017|8|Serviços|81|Serviços pessoais|811|Hotelaria, restaurantes  e serviços de alimentação|811G02|Gastronomia (Tecnólogo)
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543T01|Tecnologia de madeira
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543T02|Tecnologia de materiais (papel,plástico,vidro)
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544E01|Engenharia de minas
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544E02|Engenharia de produção de minas
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544E03|Engenharia industrial de minas
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544E04|Extração de matéria prima
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544M02|Mineração e extração
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544S01|Supervisão de pedreiras
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581A01|Arquitetura
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581D02|Desenvolvimento comunitário
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581D03|Desenvolvimento rural
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581L01|Levantamento topográfico
